"SubDistrictDept","SoftPakCompanyID","LOB","LandfillDescription","Date","ActTons"
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/1/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/1/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/1/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/1/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/1/2015",0
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/1/2015",0.352248
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/2/2015",12.86
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/2/2015",14.2
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/2/2015",19.92
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/2/2015",10.92
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/2/2015",12
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/2/2015",13.53
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/2/2015",17.32
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/2/2015",0.9
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/2/2015",1.87
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/2/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/2/2015",6.17
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/2/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/2/2015",0
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/2/2015",0.572403
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/2/2015",1.019487
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/2/2015",1.176418
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/2/2015",3.19
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/3/2015",28.2
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/3/2015",13.55
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/3/2015",8.8
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/3/2015",13.36
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/3/2015",10.19
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/3/2015",6.15
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/3/2015",5.46
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/3/2015",11.68
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/3/2015",5.2
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/3/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/3/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/3/2015",0
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/3/2015",0.592725
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/3/2015",4.81
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/4/2015",10.4
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/4/2015",10.68
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/4/2015",10.66
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/5/2015",11.51
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/5/2015",5.36
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/6/2015",26.62
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/6/2015",25.79
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/6/2015",17.53
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/6/2015",12.86
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/6/2015",9.89
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/6/2015",4.33
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/6/2015",16.08
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/6/2015",6.09
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/6/2015",15.22
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/6/2015",10.3
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/6/2015",1.67
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/6/2015",1.41
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/6/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/6/2015",3.28
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/6/2015",3.71
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/6/2015",0
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/6/2015",0.391763
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/6/2015",10.49
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/7/2015",17.12
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/7/2015",12.75
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/7/2015",6.67
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/7/2015",8.83
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/7/2015",16.56
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/7/2015",21.48
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/7/2015",15.32
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/7/2015",13.23
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/7/2015",11.94
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/7/2015",0.430149
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/7/2015",0.427891
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/7/2015",0.449342
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/7/2015",3.66
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/8/2015",22
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/8/2015",12.38
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/8/2015",10.76
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/8/2015",9.84
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/8/2015",11.88
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/8/2015",10.26
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/8/2015",7.03
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/8/2015",12.86
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/8/2015",0.27
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/8/2015",10.07
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/8/2015",1.74
"BUTLER",41,"NON COMM ROLL OFF        ","BAVARIAN LANDFILL        ","7/8/2015",1.7
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/8/2015",0
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/8/2015",0.396279
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/8/2015",0.360151
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/8/2015",3.53
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/9/2015",12.73
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL","7/9/2015",0
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/9/2015",17.31
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/9/2015",13.08
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/9/2015",14.38
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/9/2015",13.03
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/9/2015",17.01
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/9/2015",7.33
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/9/2015",12.79
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/9/2015",3.19
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/9/2015",7.11
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/9/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/9/2015",3.12
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/9/2015",0.77
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/9/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/9/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/9/2015",0
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/9/2015",0.554339
